"PTS","MP","FG","X3P","FT","FT.","Age","FG.","AST","Pos1"
2.2,7.4,0.8,0.2,0.4,0.45,24,0.405,0.2,"C"
5,13.8,1.9,0.7,0.5,0.8,32,0.403,1.9,"PG"
12.7,28.7,4.9,1,2,0.719,21,0.454,1.9,"SF"
3.5,7.5,1.3,0.2,0.8,0.737,25,0.426,0.4,"PF"
8.7,29.1,3,1.1,1.6,0.706,26,0.393,1.6,"PF"
14,32.3,5.6,1.3,1.6,0.8,30,0.473,5,"C"
8.1,14.1,3.6,0,1,0.765,32,0.499,0.9,"C"
2.9,10.3,1,0.5,0.4,0.75,34,0.375,0.4,"SF"
7.4,15.1,2.9,0,1.5,0.625,24,0.517,0.5,"C"
6.7,15.5,2.4,0.6,1.4,0.769,25,0.399,0.7,"SG"
6,15.5,2,1.4,0.6,0.898,23,0.393,0.6,"SG"
8,20.3,3,0,1.9,0.721,23,0.497,0.6,"C"
5.3,15,2.3,0,0.7,0.725,28,0.5,0.3,"C"
10.7,28.5,3.8,1.7,1.3,0.847,24,0.468,1.2,"SG"
0.8,6.8,0.2,0,0.4,0.556,29,0.214,0.5,"SF"
6.5,20.1,2.7,0.3,0.8,0.67,29,0.576,1.8,"PF"
1.3,6.6,0.4,0,0.6,0.727,34,0.357,0.7,"C"
13.6,29.7,6,0,1.7,0.386,23,0.53,1.1,"C"
7.6,26.3,2.9,0.8,0.9,0.706,33,0.528,3.4,"SF"
6.6,30.1,2.7,0.6,0.6,0.423,25,0.464,1,"SF"
2.9,21.6,1.4,0,0.1,0.273,32,0.469,1.8,"C"
5.9,20.5,1.6,0.6,2.1,0.763,22,0.325,2.8,"PG"
2.6,9,1.1,0.1,0.2,0.643,27,0.387,0.3,"PF"
23.6,37.2,8.6,1.3,5,0.76,21,0.452,2.3,"SF"
28,36.1,10.3,0.5,6.9,0.802,23,0.505,2.1,"C"
5.5,14.6,2,0.8,0.7,0.919,31,0.389,0.5,"SG"
7.1,22.7,2.4,1.4,0.9,0.744,31,0.442,1.2,"PF"
4.9,15.5,1.9,0,1.1,0.84,30,0.513,0.4,"C"
8.4,25.9,3,1,1.4,0.892,31,0.44,1.3,"SG"
12,27.8,4.4,1.5,1.8,0.691,24,0.442,2.8,"SG"
16.3,33.4,6.5,2,1.2,0.731,26,0.463,2.2,"SG"
8.1,19.3,3,1.1,1.1,0.753,23,0.43,0.8,"SG"
5.8,14.4,2.4,0.3,0.8,0.941,34,0.467,3.4,"PG"
6,22.1,2.2,0,1.5,0.534,24,0.528,0.9,"C"
21.6,34,7.9,0.6,5.2,0.76,27,0.493,4.9,"PF"
5.5,8.4,2.1,0,1.3,0.81,28,0.545,0.3,"C"
2.5,4.9,0.9,0.6,0.1,1,32,0.383,0.6,"PG"
6.8,15.6,2.9,0.5,0.6,0.661,21,0.488,0.5,"PF"
13.7,25.7,4.6,1.8,2.7,0.893,27,0.445,1.4,"SF"
4.6,17.6,2,0.3,0.4,0.743,34,0.446,2.3,"PF"
23.1,34.9,8.3,2.9,3.7,0.825,23,0.482,3.5,"SG"
6.8,16,3,0,0.8,0.657,29,0.615,0.5,"PF"
5.6,11.1,2.1,0,1.5,0.875,31,0.575,0.4,"PF"
9.4,28.8,3.5,0.7,1.7,0.621,19,0.402,2.1,"SF"
7.1,22.2,2.4,1,1.4,0.75,27,0.359,4.9,"PG"
11,21.1,3.9,0.8,2.4,0.857,25,0.398,2.4,"SG"
4.2,21.9,1.5,0.9,0.3,0.722,31,0.374,1,"SG"
3.5,10.1,1.1,0.4,0.8,0.846,31,0.377,1.3,"PG"
20.5,29.6,7.4,1.8,3.9,0.81,28,0.474,2.3,"C"
2.6,7.9,1,0.5,0.1,0.833,23,0.364,0.6,"SG"
10.6,23,4,1.8,0.8,0.842,24,0.426,1.5,"SG"
10.7,23.4,3.7,2.2,1.1,0.903,29,0.434,0.6,"SF"
4.5,16.3,1.5,0.5,0.9,0.864,32,0.387,1.8,"PG"
1,4.9,0.4,0.1,0.1,1,26,0.258,0.5,"SG"
5.2,14.9,2.1,0.9,0.2,0.625,22,0.332,1.8,"PG"
8.2,21.7,3,1,1.2,0.72,22,0.45,1.9,"SF"
22.4,34.3,8.1,2,4.1,0.833,32,0.433,2.9,"SF"
6.2,19.9,2.2,0.7,1,0.814,28,0.338,1.6,"SF"
9.1,18.9,3.2,1.9,0.9,0.851,33,0.458,0.6,"C"
5.1,11.7,2.1,0,0.9,0.714,20,0.474,0.2,"PF"
2.8,10.4,1,0,0.8,1,20,0.714,0.6,"C"
2.3,9.5,0.8,0,0.8,0.714,38,0.409,0.4,"C"
2.3,5,1,0.1,0.2,0.6,21,0.5,0.1,"PF"
18.1,31.5,6.1,2,3.8,0.892,31,0.476,9.2,"PG"
2.7,8.2,0.9,0,0.8,0.733,21,0.522,0.2,"PF"
23,35,8.7,2.3,3.4,0.912,25,0.48,3.6,"SG"
12.6,23.9,5.6,0,1.4,0.531,22,0.643,1,"C"
10.3,27.8,4.1,0,2.1,0.679,24,0.571,1.6,"C"
1.7,8.6,0.7,0,0.2,0.682,28,0.523,0.4,"C"
4.5,15.6,1.8,0.3,0.6,0.735,30,0.422,1.2,"SF"
9.3,25,3.7,0.6,1.2,0.77,25,0.452,3.3,"PG"
10.8,31.9,4.2,1.4,1.1,0.867,31,0.456,2.3,"SG"
4.8,15.8,1.9,0,0.9,0.645,24,0.579,0.6,"C"
15.6,28.7,5.6,2.1,2.3,0.782,20,0.405,4.8,"PG"
7.9,19.7,2.5,1.2,1.7,0.814,29,0.377,2.7,"PG"
1.9,8.5,0.8,0,0.3,0.3,21,0.5,0,"C"
27,35.9,8.8,2.9,6.5,0.895,26,0.444,5.9,"PG"
1.3,3.9,0.6,0,0,0,23,0.444,0.2,"C"
18.2,33.9,5.3,2,5.5,0.902,28,0.447,2.1,"SF"
7.3,26.6,2.6,1.7,0.4,0.844,29,0.392,1.8,"SG"
6.6,25,2.6,1.1,0.2,0.593,29,0.485,0.6,"PF"
6.2,18.6,2.3,0.7,0.9,0.795,21,0.427,1.7,"PG"
12.8,26.3,4.7,1.3,2.1,0.782,22,0.411,2.2,"PF"
6.4,15.6,2.3,1.3,0.5,0.864,28,0.442,1,"PF"
13.2,30.3,5,1.1,2.2,0.86,29,0.476,4.6,"PG"
3.3,9.8,1.2,0.3,0.5,0.75,23,0.373,0.8,"SG"
7.3,18.7,3.1,0,1,0.708,33,0.59,1.6,"PF"
4.6,12.6,2,0,0.6,0.768,36,0.536,2.2,"C"
4.5,12.1,1.5,1,0.4,0.824,24,0.44,0.7,"PF"
2.7,9.8,1.2,0,0.2,0.375,22,0.48,0.7,"SF"
12.7,31.7,5.1,0,2.5,0.482,28,0.714,1.2,"C"
2.5,12.5,0.9,0.3,0.4,0.625,28,0.387,0.9,"SG"
3.4,8.5,1.3,0.2,0.6,0.7,20,0.431,1.3,"PG"
5.6,16.5,1.8,0.4,1.6,0.764,24,0.422,2.1,"PG"
27.3,35.4,9.7,0.4,7.4,0.842,27,0.467,3.9,"SG"
27,34.2,9,1.8,7.2,0.772,26,0.452,4.6,"C"
